0,821180
1,125442
2,823038
3,38523
4,456673
5,724191
6,494415
7,500135
8,376154
9,431262
10,360979
11,166873
12,274084
13,855427
14,691745
15,603456
16,829080
17,539619
18,242532
19,352835
20,360753
21,804049
22,545751
23,429441
24,158307
25,704763
26,754956
27,70459
28,957818
29,413025
30,657173
31,791722
32,226788
33,489016
34,639728
35,607922
36,668735
37,548175
38,640014
39,640971
40,805491
41,42543
42,896221
43,834521
44,17308
45,754766
46,681121
47,873643
48,732716
49,207372
50,487307
51,214233
52,500525
53,268457
54,257559
55,818661
56,301923
57,906825
58,207338
59,477687
60,49286
61,401356
62,428904
63,823925
64,756757
65,592064
66,926786
67,857861
68,716563
69,974180
70,771362
71,443551
72,27233
73,267145
74,828834
75,178345
76,749118
77,875326
78,673792
79,39297
80,955428
81,78711
82,169725
83,680114
84,964240
85,781061
86,212289
87,290043
88,688337
89,262248
90,279929
91,695640
92,596547
93,826141
94,925181
95,691021
96,753
97,528424
98,623393
99,291983
100,74247
101,561695
102,536948
103,441056
104,202621
105,82233
106,280516
107,407693
108,367800
109,662631
110,689687
111,695867
112,745379
113,696068
114,211708
115,989065
116,546053
117,538310
118,625694
119,65160
120,25625
121,926983
122,856096
123,311196
124,908071
125,691522
126,798186
127,616596
128,741432
129,103625
130,244569
131,69425
132,794300
133,89683
134,668813
135,458026
136,508051
137,731446
138,245516
139,297976
140,263383
141,211632
142,484289
143,285998
144,721832
145,103936
146,640816
147,704779
148,840677
149,133274
150,88237
151,227096
152,407880
153,782096
154,804326
155,446094
156,842892
157,837517
158,902122
159,110402
160,37575
161,20863
162,598970
163,267133
164,239363
165,691455
166,894269
167,958547
168,369592
169,818708
170,520159
171,9193
172,165696
173,911637
174,568118
175,819907
176,801395
177,225776
178,206189
179,54462
180,846929
181,503741
182,436706
183,282215
184,813691
185,916545
186,954240
187,504178
188,894925
189,400871
190,929072
191,135546
192,299799
193,481386
194,579022
195,416164
196,83717
197,187150
198,64204
199,5429
200,966424
201,7785
202,63705
203,257799
204,34986
205,59654
206,834013
207,990903
208,951141
209,896549
210,249694
211,53605
212,887553
213,445641
214,20635
215,749579
216,957909
217,424467
218,967670
219,430097
220,285095
221,970241
222,123653
223,955445
224,948258
225,810910
226,945127
227,807546
228,651419
229,319594
230,702747
231,7985
232,193262
233,993325
234,765339
235,529141
236,647535
237,297003
238,385267
239,589083
240,352822
241,992226
242,130934
243,906418
244,171593
245,11346
246,853134
247,394461
248,386014
249,907323
250,521348
251,788441
252,892741
253,689605
254,167049
255,909655
256,408634
257,980176
258,996367
259,742978
260,235458
261,992634
262,439904
263,923256
264,278995
265,849419
266,751236
267,777172
268,227683
269,291388
270,101050
271,192216
272,133663
273,514527
274,43661
275,455175
276,554377
277,791768
278,175118
279,768404
280,524522
281,63612
282,164922
283,731194
284,537141
285,225513
286,986538
287,680759
288,56031
289,991501
290,903557
291,342105
292,262941
293,997524
294,345690
